trayectoria_id,figura,punto,x_m,y_m
19,Cruz irregular v2,0,0.20923,-0.0067
19,Cruz irregular v2,1,0.21051,-0.0067
19,Cruz irregular v2,2,0.2118,-0.0067
19,Cruz irregular v2,3,0.21308,-0.0067
19,Cruz irregular v2,4,0.21437,-0.0067
19,Cruz irregular v2,5,0.21566,-0.0067
19,Cruz irregular v2,6,0.21694,-0.0067
19,Cruz irregular v2,7,0.21823,-0.0067
19,Cruz irregular v2,8,0.21951,-0.0067
19,Cruz irregular v2,9,0.2208,-0.0067
19,Cruz irregular v2,10,0.22209,-0.0067
19,Cruz irregular v2,11,0.22337,-0.0067
19,Cruz irregular v2,12,0.22466,-0.0067
19,Cruz irregular v2,13,0.22584,-0.0068
19,Cruz irregular v2,14,0.22584,-0.00809
19,Cruz irregular v2,15,0.22584,-0.00938
19,Cruz irregular v2,16,0.22584,-0.01066
19,Cruz irregular v2,17,0.22584,-0.01195
19,Cruz irregular v2,18,0.22584,-0.01323
19,Cruz irregular v2,19,0.22584,-0.01452
19,Cruz irregular v2,20,0.22584,-0.01581
19,Cruz irregular v2,21,0.22584,-0.01709
19,Cruz irregular v2,22,0.22584,-0.01838
19,Cruz irregular v2,23,0.22584,-0.01966
19,Cruz irregular v2,24,0.22584,-0.02095
19,Cruz irregular v2,25,0.22584,-0.02223
19,Cruz irregular v2,26,0.22584,-0.02352
19,Cruz irregular v2,27,0.22584,-0.02481
19,Cruz irregular v2,28,0.22584,-0.02609
19,Cruz irregular v2,29,0.22589,-0.02733
19,Cruz irregular v2,30,0.22718,-0.02733
19,Cruz irregular v2,31,0.22847,-0.02733
19,Cruz irregular v2,32,0.22975,-0.02733
19,Cruz irregular v2,33,0.23104,-0.02733
19,Cruz irregular v2,34,0.23232,-0.02733
19,Cruz irregular v2,35,0.23361,-0.02733
19,Cruz irregular v2,36,0.2349,-0.02733
19,Cruz irregular v2,37,0.23618,-0.02733
19,Cruz irregular v2,38,0.23747,-0.02733
19,Cruz irregular v2,39,0.23875,-0.02733
19,Cruz irregular v2,40,0.24004,-0.02733
19,Cruz irregular v2,41,0.24133,-0.02733
19,Cruz irregular v2,42,0.24261,-0.02733
19,Cruz irregular v2,43,0.2439,-0.02733
19,Cruz irregular v2,44,0.24518,-0.02733
19,Cruz irregular v2,45,0.24647,-0.02733
19,Cruz irregular v2,46,0.24647,-0.02862
19,Cruz irregular v2,47,0.24647,-0.0299
19,Cruz irregular v2,48,0.24647,-0.03119
19,Cruz irregular v2,49,0.24647,-0.03247
19,Cruz irregular v2,50,0.24647,-0.03376
19,Cruz irregular v2,51,0.24647,-0.03504
19,Cruz irregular v2,52,0.24647,-0.03633
19,Cruz irregular v2,53,0.24647,-0.03762
19,Cruz irregular v2,54,0.24647,-0.0389
19,Cruz irregular v2,55,0.24647,-0.04019
19,Cruz irregular v2,56,0.24647,-0.04147
19,Cruz irregular v2,57,0.24647,-0.04276
19,Cruz irregular v2,58,0.24637,-0.04395
19,Cruz irregular v2,59,0.24508,-0.04395
19,Cruz irregular v2,60,0.2438,-0.04395
19,Cruz irregular v2,61,0.24251,-0.04395
19,Cruz irregular v2,62,0.24123,-0.04395
19,Cruz irregular v2,63,0.23994,-0.04395
19,Cruz irregular v2,64,0.23865,-0.04395
19,Cruz irregular v2,65,0.23737,-0.04395
19,Cruz irregular v2,66,0.23608,-0.04395
19,Cruz irregular v2,67,0.2348,-0.04395
19,Cruz irregular v2,68,0.23351,-0.04395
19,Cruz irregular v2,69,0.23222,-0.04395
19,Cruz irregular v2,70,0.23094,-0.04395
19,Cruz irregular v2,71,0.22965,-0.04395
19,Cruz irregular v2,72,0.22837,-0.04395
19,Cruz irregular v2,73,0.22708,-0.04395
19,Cruz irregular v2,74,0.22584,-0.044
19,Cruz irregular v2,75,0.22584,-0.04528
19,Cruz irregular v2,76,0.22584,-0.04657
